commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
05298e5f1767ad6f29f4f101e192bf01b528f77f,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
0698ac6554de5f6ee2737cc3b5aa1b499c8caa8f,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
071d9983d381ab1799b01fa939ff17f2dd7132cc,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
082b7f62983e9576bc541a2fe3c3fa3c871193f1,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
118f9a2a61e4c9195c295088ab0b80cdced89029,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
144db691e466a2de74fce2bc5702a406901f478a,42,0,0,2,19,21,"[327, 330, 78, 502, 703]"
14a116f2e9adbbbaf9a50f25121af92ade68938e,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
1c3dc7570de8c68e61e4e22ff869f649f7ea5a91,35,0,0,2,16,17,"[330, 327, 502, 703]"
1ccbcd4f16c925160d6fad7e338c9d422a295cc0,35,0,0,0,19,16,"[330, 502, 703]"
1ce3f6926172027d0d0df810dbb52ec3a5232741,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
1f70dac755c7ef962b87c80821c88ee5538caf83,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
232010e8ffa610a808a87cdc6148c8412b7aa9ad,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
24bd74df307b097baf87f28637943d264f155a09,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
260b80063b7d3599f93d7179a7749d626f010973,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
2a9a2af127012cca052369348bb8bceccc885ecd,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
2aa5fbd7d06761e43cbf4081a2c8ce16a18ba393,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
2df328ad9003a5dbe8dcff32136cb9ce54531d91,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
2ff23667af25d9f2f92bae346a1c6ac6a04a8e38,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
3c1688bbac2203ed2a9a9125c54639c364ef4a0f,35,0,0,0,19,16,"[330, 502, 703]"
3d9069603d4a0d8499907d42f9f0643da5951b32,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
44077457d32887a91297f15c3efee2c1982f690e,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
4676353c1374b2e0b33b0da2dd6596fa47fdd4c8,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
46baa9e3a4563888b8b463460600051834eb6331,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
490f5fabf0ae083ee7ee055a66c571331e692faa,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
4a26e5d9b38aeecff63c4095a37e2c0779bbf289,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
4bd6800fa867a37f97484cbe75fd94e2b36d7934,42,0,0,2,19,21,"[327, 330, 78, 502, 703]"
512026d2dadc79ce1c71e921af8885b15cf993c3,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
52219a7825d2bb40e215f0de24541102fc12ae15,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
5481e69f89d16e45fdd4b7f02c8bf07b38ef8d8c,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
54a8a26036b6f501c909dbd284bb55b05c222b51,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
54d053c3c29207276b186fe5031721bae8231b3b,33,0,0,0,16,17,"[330, 502, 703]"
5512549871d29c55b3cd8e99a79fcbd14859b77d,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
58b39e65455c5a714080afe9899167e4726fda5f,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
5a15b1752f0ae42cd396882ebd120b0d1e1dcee0,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
6325d63268da6863950a1b5e83bf6caaee3a98f2,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
641fb79eaa7f1b4ad7df4ff7f4868622703087c1,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
64598b532998fc8491af2d47b0a8ba2aafb11772,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
6e7d2283cb99a118dea919c5f77e567ba3df4c55,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
7229f48cdaa0f49d36f5904d447bdbd11a6b65a5,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
7e2984e0a14ae2566de253bc79e7da38a68b3f30,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
7e5b21c550d6fd03170df3858f3b253daa4f8ac9,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
7f22f6ae29c8f9e7dd937aab45659cff0e5c0d9e,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
82076c88a59b639ecb9decc814517e6254134fdc,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
8274ebec58f04fb96347fc4fa568f1913c25ae38,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
82d9639bc0011932a952bbae1d4b5bd5ac03c7c8,29,0,0,0,14,15,"[330, 502, 703]"
8870d76febc845ad74e479664365de052c623d7a,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
893c8e415091212daad2a69ecaf419230f332363,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
8a15fb9aca8234ed396c9f66e9a3d9919f25efec,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
8a27de9103711d2793dea27125833dd4ad19ed84,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
8baa603e618323f2b3ab79e7e3140fc0d12c14c1,51,0,0,2,20,29,"[327, 330, 78, 502, 703]"
8d9819fe5ca10592de8d060ec8c4a1774ed40dd9,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
95364f8b82ba7ce229f1d6e68216ebade463f477,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
966fc9c9edf7db6766f97058e33c759b2d40b408,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
9827f2f36e17f928259da65c028e8030179fa1a3,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
98acd131cb1a148a62109d5d725009634f266a89,35,0,0,2,16,17,"[330, 327, 502, 703]"
9973b09852a5018f23d831b1868da3a5d2ce6a3b,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
9fafb0a573070f32d0f4cb75532f884c46315e6b,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
a136831acf3528ce903e78cc7a9cc90f0f30c334,42,0,0,2,19,21,"[327, 330, 78, 502, 703]"
a2c1b710fb9b8397a9034649a6c40b1b424ff0b6,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
a407aaa907dfe130d7cbf1e2778199c6803572b1,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
a4213ff64c2fb1cba60fc602eda631c00a8177c4,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
a532f06ce88e4983333b9fc6493e37f9762a032d,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
a570a9d864848fb82d440eb523d8585c6eac3841,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
ab92cbfa05fd65d51dc4826937d8f07042a4bebd,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
accd94497a682245b75b5efacdcef7287d477234,35,0,0,0,19,16,"[330, 502, 703]"
aee6d118fe172a938fe5b99454f9d689a8a3f1a0,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
b3e4129987890a2beb04f2c0b6dc618ae35f2e14,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
b7a197968c3645fe6eeef0c0b82116946c0dbbc9,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
bc1b76217690b7f2a65f7ad14f0991b13c8cfe75,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
bfd9e7f1d0ba21ccf688a2a48b4b958e96fde452,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
c096b4d5d73ffa5423910ee708ebaa8feadba788,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
c8d5ca447652bcc57eff657d81292c60f06c076a,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
c935e9dd56faea7262f4a4305e7f7635996e5ec9,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
c98c145417965d015103f2a1bfcf59658e90b470,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
cd08b3598494bd9b90f042d918ffcec6f3e06c37,35,0,0,0,19,16,"[330, 502, 703]"
cd90e3563ee42fb267a66bc748609b7e1e42f4e4,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
d0cc6be139aa4d3c12bd7b9d1c53961dfdd413ea,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
d24c9838be9020090c8525ca29e7447e2289b00a,42,0,0,2,19,21,"[327, 330, 78, 502, 703]"
d4d4a027d5dee7c09f180dd16668ed1f1603559c,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
d6042dc72f1a49e9d991457c6c55c9ef88913df6,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
d65924ba93b9e89dc66d2ea98de79f783b102e4d,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
d6d3a3a190c9d4bb2598cef7f36c3259b56906e4,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
da9dd79722d6d0054bfa797bd1eeab3c59c51dab,42,0,0,2,19,21,"[327, 330, 78, 502, 703]"
dca5024ae1fb6345836f8f87aca9c2afa8d32455,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
e11bb70cdbcea813b097526666a7834f64364ade,51,0,0,2,20,29,"[327, 330, 78, 502, 703]"
e5f14aee0b9000de38d3e2706b9c67de9283afb8,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
e8d1cfa077f377928c066944598ed4ad03c0a99e,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
ebe4ca4a5ddf5763df8ea80a9b6851a6044b1fd0,42,0,0,2,19,21,"[327, 330, 78, 502, 703]"
ec36c20caeda6a1fbcbefcd92161bb9d2a8b8d78,39,0,0,2,18,19,"[327, 330, 78, 502, 703]"
f0ae48b3db01d214460f876bf4f11375a90bbf3b,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
f1fe2d87df05eab2cb4e67e7af77232c29dd377c,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
f69600ad16397922fd4a7910c197aac1e4d96930,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
fa1a6740accbc131bfab0922eacea0b78c0a352d,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
faa9d9d0bcd3095f34d5a2c9a4a0ef85b68fcbeb,36,0,0,2,17,17,"[327, 330, 78, 502, 703]"
fb4b661ce30a421c7bafeb38f95cabf6d4cc361c,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
fc26932521e299ab0574ac3203da9e74b7f44d4b,38,0,0,2,17,19,"[327, 330, 78, 502, 703]"
fd9e56b03ccd72a88d3e08284828b8868a08e87d,41,0,0,2,19,20,"[327, 330, 78, 502, 703]"
fe047f1921e84ae61511f43535877db9a3f1c4fd,44,0,0,2,20,22,"[327, 330, 78, 502, 703]"
ff34e735639b5082dff92f18d58cbf2a8a12cc29,35,0,0,2,16,17,"[330, 327, 502, 703]"
